repo,comparison,metric,group_a,group_b,n_a,n_b,median_a,q1_a,q3_a,median_b,q1_b,q3_b,median_diff_a_minus_b,u_stat,p_value,rank_biserial,bonferroni_p
microsoft/vscode,post2022_ai_vs_human,added_lines,ai,non_ai,106,144,49.5,10.0,121.75,14.5,4.0,74.5,35.0,9207.0,0.0053,0.2064,0.053
microsoft/vscode,post2022_ai_vs_human,deleted_lines,ai,non_ai,106,144,4.0,1.0,15.75,4.5,1.0,22.5,-0.5,6935.0,0.216102,-0.0913,1.0
microsoft/vscode,post2022_ai_vs_human,changed_files,ai,non_ai,106,144,2.0,1.0,4.0,2.0,1.0,4.0,0.0,7878.0,0.652067,0.0322,1.0
microsoft/vscode,post2022_ai_vs_human,commit_count,ai,non_ai,106,144,2.0,2.0,4.0,1.0,1.0,2.0,1.0,11074.0,0.0,0.451,0.0
microsoft/vscode,post2022_ai_vs_human,analyzable_added_lines,ai,non_ai,106,144,49.5,10.0,121.75,12.5,2.0,71.5,37.0,9352.0,0.002322,0.2254,0.02322
microsoft/vscode,post2022_ai_vs_human,todo_fixme_count,ai,non_ai,106,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7385.5,0.127621,-0.0323,1.0
microsoft/vscode,post2022_ai_vs_human,complexity_proxy,ai,non_ai,81,76,8.11,4.76,11.2,7.11,3.61,11.89,1.0,3283.0,0.472284,0.0666,1.0
microsoft/vscode,post2022_ai_vs_human,security_kw_in_review,ai,non_ai,106,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7030.0,0.108037,-0.0789,1.0
microsoft/vscode,post2022_ai_vs_human,review_duration_hours,ai,non_ai,106,144,1.26,0.63,2.37,1.04,0.51,2.13,0.22,8424.0,0.161268,0.1038,1.0
microsoft/vscode,post2022_ai_vs_human,reviewer_count,ai,non_ai,106,144,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8310.5,0.162951,0.0889,1.0
microsoft/vscode,pre2022_vs_post2022,added_lines,post2022_all,pre2022_all,250,500,26.5,4.0,104.75,18.0,4.0,78.0,8.5,65843.0,0.231646,0.0535,1.0
microsoft/vscode,pre2022_vs_post2022,deleted_lines,post2022_all,pre2022_all,250,500,4.0,1.0,20.0,4.0,1.0,23.0,0.0,62935.5,0.875887,0.007,1.0
microsoft/vscode,pre2022_vs_post2022,changed_files,post2022_all,pre2022_all,250,500,2.0,1.0,4.0,2.0,1.0,5.0,0.0,61318.0,0.658563,-0.0189,1.0
microsoft/vscode,pre2022_vs_post2022,commit_count,post2022_all,pre2022_all,250,500,2.0,1.0,3.0,2.0,1.0,3.0,0.0,61004.5,0.56984,-0.0239,1.0
microsoft/vscode,pre2022_vs_post2022,analyzable_added_lines,post2022_all,pre2022_all,250,500,25.0,3.0,104.75,17.0,4.0,73.0,8.0,64939.0,0.382823,0.039,1.0
microsoft/vscode,pre2022_vs_post2022,todo_fixme_count,post2022_all,pre2022_all,250,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60080.5,0.026327,-0.0387,0.26327
microsoft/vscode,pre2022_vs_post2022,complexity_proxy,post2022_all,pre2022_all,157,297,7.58,4.12,11.76,7.53,4.76,11.75,0.05,22726.0,0.658101,-0.0252,1.0
microsoft/vscode,pre2022_vs_post2022,security_kw_in_review,post2022_all,pre2022_all,250,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71094.5,0.0,0.1375,0.0
microsoft/vscode,pre2022_vs_post2022,review_duration_hours,post2022_all,pre2022_all,250,500,1.13,0.57,2.35,154.45,21.21,17589.18,-153.32,12597.0,0.0,-0.7984,0.0
microsoft/vscode,pre2022_vs_post2022,reviewer_count,post2022_all,pre2022_all,250,500,1.0,0.25,1.0,0.0,0.0,1.0,1.0,90807.5,0.0,0.4529,0.0
vercel/next.js,post2022_ai_vs_human,added_lines,ai,non_ai,66,184,37.0,15.0,196.0,68.5,14.0,203.25,-31.5,5408.0,0.187979,-0.1094,1.0
vercel/next.js,post2022_ai_vs_human,deleted_lines,ai,non_ai,66,184,11.0,2.25,26.0,17.0,2.0,54.25,-6.0,5589.0,0.337787,-0.0795,1.0
vercel/next.js,post2022_ai_vs_human,changed_files,ai,non_ai,66,184,2.0,1.0,4.0,3.0,1.0,8.0,-1.0,5090.5,0.045888,-0.1616,0.45888
vercel/next.js,post2022_ai_vs_human,commit_count,ai,non_ai,66,184,1.0,1.0,2.0,1.0,1.0,2.0,0.0,6520.5,0.313901,0.0739,1.0
vercel/next.js,post2022_ai_vs_human,analyzable_added_lines,ai,non_ai,66,184,37.0,15.0,196.0,62.0,12.75,172.75,-25.0,5784.5,0.569004,-0.0473,1.0
vercel/next.js,post2022_ai_vs_human,todo_fixme_count,ai,non_ai,66,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5589.0,0.070623,-0.0795,0.70623
vercel/next.js,post2022_ai_vs_human,complexity_proxy,ai,non_ai,54,142,8.97,5.28,12.71,5.92,1.89,9.46,3.06,4876.5,0.003247,0.2719,0.03247
vercel/next.js,post2022_ai_vs_human,security_kw_in_review,ai,non_ai,66,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6552.5,0.024755,0.0791,0.24755
vercel/next.js,post2022_ai_vs_human,review_duration_hours,ai,non_ai,66,184,5.54,1.17,18.37,5.81,1.06,39.46,-0.28,5713.0,0.476877,-0.0591,1.0
vercel/next.js,post2022_ai_vs_human,reviewer_count,ai,non_ai,66,184,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,5153.5,0.042539,-0.1513,0.42539
vercel/next.js,pre2022_vs_post2022,added_lines,post2022_all,pre2022_all,250,494,58.5,14.0,202.5,8.0,2.0,53.75,50.5,87284.5,0.0,0.4135,0.0
vercel/next.js,pre2022_vs_post2022,deleted_lines,post2022_all,pre2022_all,250,494,14.0,2.0,47.0,2.0,1.0,11.0,12.0,83573.5,0.0,0.3534,0.0
vercel/next.js,pre2022_vs_post2022,changed_files,post2022_all,pre2022_all,250,494,2.0,1.0,7.0,2.0,1.0,5.0,0.0,70856.5,0.000579,0.1475,0.00579
vercel/next.js,pre2022_vs_post2022,commit_count,post2022_all,pre2022_all,250,494,1.0,1.0,2.0,1.0,1.0,3.0,0.0,56708.5,0.044342,-0.0816,0.44342
vercel/next.js,pre2022_vs_post2022,analyzable_added_lines,post2022_all,pre2022_all,250,494,48.0,13.25,181.0,8.0,2.0,50.75,40.0,85748.0,0.0,0.3886,0.0
vercel/next.js,pre2022_vs_post2022,todo_fixme_count,post2022_all,pre2022_all,250,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67527.5,0.0,0.0936,0.0
vercel/next.js,pre2022_vs_post2022,complexity_proxy,post2022_all,pre2022_all,196,232,6.75,2.89,11.07,3.53,0.72,7.14,3.21,28843.0,2e-06,0.2686,2e-05
vercel/next.js,pre2022_vs_post2022,security_kw_in_review,post2022_all,pre2022_all,250,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63088.5,0.199535,0.0217,1.0
vercel/next.js,pre2022_vs_post2022,review_duration_hours,post2022_all,pre2022_all,250,494,5.59,1.07,27.92,11.8,1.55,760.52,-6.21,46600.0,0.0,-0.2453,0.0
vercel/next.js,pre2022_vs_post2022,reviewer_count,post2022_all,pre2022_all,250,494,0.5,0.0,1.0,1.0,0.0,1.0,-0.5,47507.5,0.0,-0.2306,0.0
